Experiment,Number of Layers,Neurons per Layer,Learning Rate,Dropout Rate,Batch Size,Epochs,Optimizer,Accuracy,Recall,Value F1
Exp-1,2,"[128, 64]",0.001,0.3,16,100,Adam,81.43,81.29,81.38
Exp-2,2,"[128, 64]",0.001,0.3,16,200,Adam,81.75,81.41,81.59
Exp-3,2,"[128, 64]",0.001,0.3,16,300,Adam,81.75,81.58,81.56
Exp-4,2,"[128, 64]",0.001,0.3,32,100,Adam,84.57,84.54,84.42
Exp-5,2,"[128, 64]",0.001,0.3,32,200,Adam,84.32,84.11,84.18
Exp-6,2,"[128, 64]",0.001,0.3,32,300,Adam,84.16,84.02,84.02
Exp-7,2,"[128, 64]",0.001,0.4,16,100,Adam,82.72,82.49,82.57
Exp-8,2,"[128, 64]",0.001,0.4,16,200,Adam,81.67,81.33,81.6
Exp-9,2,"[128, 64]",0.001,0.4,16,300,Adam,82.64,82.54,82.65
Exp-10,2,"[128, 64]",0.001,0.4,32,100,Adam,82.96,82.68,82.81
Exp-11,2,"[128, 64]",0.001,0.4,32,200,Adam,85.69,85.63,85.55
Exp-12,2,"[128, 64]",0.001,0.4,32,300,Adam,84.41,84.37,84.34
Exp-13,2,"[128, 64]",0.001,0.5,16,100,Adam,81.91,81.97,81.71
Exp-14,2,"[128, 64]",0.001,0.5,16,200,Adam,80.95,80.75,80.8
Exp-15,2,"[128, 64]",0.001,0.5,16,300,Adam,81.99,81.64,81.89
Exp-16,2,"[128, 64]",0.001,0.5,32,100,Adam,82.88,82.78,82.83
Exp-17,2,"[128, 64]",0.001,0.5,32,200,Adam,83.44,83.54,83.44
Exp-18,2,"[128, 64]",0.001,0.5,32,300,Adam,82.32,82.23,82.18
Exp-19,2,"[128, 64]",0.001,0.7,16,100,Adam,77.49,77.43,76.97
Exp-20,2,"[128, 64]",0.001,0.7,16,200,Adam,77.65,77.74,77.2
Exp-21,2,"[128, 64]",0.001,0.7,16,300,Adam,78.7,78.75,78.24
Exp-22,2,"[128, 64]",0.001,0.7,32,100,Adam,81.35,81.43,81.25
Exp-23,2,"[128, 64]",0.001,0.7,32,200,Adam,81.59,81.44,81.46
Exp-24,2,"[128, 64]",0.001,0.7,32,300,Adam,80.63,80.68,80.31
Exp-25,2,"[256, 128]",0.001,0.3,16,100,Adam,82.8,82.64,82.54
Exp-26,2,"[256, 128]",0.001,0.3,16,200,Adam,82.23,81.7,82.09
Exp-27,2,"[256, 128]",0.001,0.3,16,300,Adam,82.8,82.66,82.67
Exp-28,2,"[256, 128]",0.001,0.3,32,100,Adam,83.36,83.23,83.21
Exp-29,2,"[256, 128]",0.001,0.3,32,200,Adam,84.49,84.37,84.28
Exp-30,2,"[256, 128]",0.001,0.3,32,300,Adam,82.96,82.78,82.77
Exp-31,2,"[256, 128]",0.001,0.4,16,100,Adam,82.4,82.34,82.28
Exp-32,2,"[256, 128]",0.001,0.4,16,200,Adam,83.36,83.19,83.27
Exp-33,2,"[256, 128]",0.001,0.4,16,300,Adam,83.04,82.97,82.74
Exp-34,2,"[256, 128]",0.001,0.4,32,100,Adam,84.49,84.31,84.37
Exp-35,2,"[256, 128]",0.001,0.4,32,200,Adam,83.92,83.82,83.82
Exp-36,2,"[256, 128]",0.001,0.4,32,300,Adam,84,83.88,83.97
Exp-37,2,"[256, 128]",0.001,0.5,16,100,Adam,79.02,78.6,78.68
Exp-38,2,"[256, 128]",0.001,0.5,16,200,Adam,81.35,81.2,81.32
Exp-39,2,"[256, 128]",0.001,0.5,16,300,Adam,80.87,80.63,80.72
Exp-40,2,"[256, 128]",0.001,0.5,32,100,Adam,83.12,83.14,82.94
Exp-41,2,"[256, 128]",0.001,0.5,32,200,Adam,84.57,84.27,84.51
Exp-42,2,"[256, 128]",0.001,0.5,32,300,Adam,83.12,83.31,83
Exp-43,2,"[256, 128]",0.001,0.7,16,100,Adam,78.94,78.88,78.57
