Experiment,Number of Layers,Neurons per Layer,Learning Rate,Dropout Rate,Batch Size,Epochs,Optimizer,Accuracy,Recall,Value F1
Exp-1,2,"[128, 64]",0.001,0.3,16,100,Adam,81.43,81.29,81.38
Exp-2,2,"[128, 64]",0.001,0.3,16,200,Adam,81.75,81.41,81.59
Exp-3,2,"[128, 64]",0.001,0.3,16,300,Adam,81.75,81.58,81.56
Exp-4,2,"[128, 64]",0.001,0.3,32,100,Adam,84.57,84.54,84.42
Exp-5,2,"[128, 64]",0.001,0.3,32,200,Adam,84.32,84.11,84.18
Exp-6,2,"[128, 64]",0.001,0.3,32,300,Adam,84.16,84.02,84.02
Exp-7,2,"[128, 64]",0.001,0.5,16,100,Adam,81.27,81.06,81.02
Exp-8,2,"[128, 64]",0.001,0.5,16,200,Adam,82.80,82.64,82.66
Exp-9,2,"[128, 64]",0.001,0.5,16,300,Adam,81.43,81.27,81.16
Exp-10,2,"[128, 64]",0.001,0.5,32,100,Adam,83.04,82.89,82.91
Exp-11,2,"[128, 64]",0.001,0.5,32,200,Adam,83.04,82.93,82.90
Exp-12,2,"[128, 64]",0.001,0.5,32,300,Adam,81.75,81.74,81.69
Exp-13,2,"[128, 64]",0.001,0.7,16,100,Adam,78.46,78.05,78.20
Exp-14,2,"[128, 64]",0.001,0.7,16,200,Adam,77.49,77.20,77.09
Exp-15,2,"[128, 64]",0.001,0.7,16,300,Adam,78.70,78.32,78.38
Exp-16,2,"[128, 64]",0.001,0.7,32,100,Adam,80.47,80.60,80.25
Exp-17,2,"[128, 64]",0.001,0.7,32,200,Adam,79.42,79.48,79.10
Exp-18,2,"[128, 64]",0.001,0.7,32,300,Adam,81.03,81.02,80.90
Exp-19,2,"[256, 128]",0.001,0.3,16,100,Adam,82.72,82.90,82.39
Exp-20,2,"[256, 128]",0.001,0.3,16,200,Adam,82.56,82.58,82.58
Exp-21,2,"[256, 128]",0.001,0.3,16,300,Adam,83.04,82.88,82.87
Exp-22,2,"[256, 128]",0.001,0.3,32,100,Adam,84.16,84.25,84.04
Exp-23,2,"[256, 128]",0.001,0.3,32,200,Adam,83.92,83.74,83.79
Exp-24,2,"[256, 128]",0.001,0.3,32,300,Adam,83.68,83.67,83.58
Exp-25,2,"[256, 128]",0.001,0.5,16,100,Adam,81.27,81.29,80.98
Exp-26,2,"[256, 128]",0.001,0.5,16,200,Adam,81.67,81.79,81.30
Exp-27,2,"[256, 128]",0.001,0.5,16,300,Adam,81.03,80.86,80.82
Exp-28,2,"[256, 128]",0.001,0.5,32,100,Adam,84.41,84.22,84.38
Exp-29,2,"[256, 128]",0.001,0.5,32,200,Adam,82.80,82.89,82.48
Exp-30,2,"[256, 128]",0.001,0.5,32,300,Adam,82.23,82.40,81.71
Exp-31,2,"[256, 128]",0.001,0.7,16,100,Adam,77.81,77.52,77.53
Exp-32,2,"[256, 128]",0.001,0.7,16,200,Adam,78.94,78.64,78.76
Exp-33,2,"[256, 128]",0.001,0.7,16,300,Adam,78.14,77.92,77.78
Exp-34,2,"[256, 128]",0.001,0.7,32,100,Adam,83.60,83.77,83.60
Exp-35,2,"[256, 128]",0.001,0.7,32,200,Adam,81.11,81.19,80.82
Exp-36,2,"[256, 128]",0.001,0.7,32,300,Adam,81.99,81.81,81.87
Exp-37,2,"[512, 256]",0.001,0.3,16,100,Adam,80.87,80.31,80.66
Exp-38,2,"[512, 256]",0.001,0.3,16,200,Adam,82.80,82.63,82.65
Exp-39,2,"[512, 256]",0.001,0.3,16,300,Adam,81.43,81.02,81.23
Exp-40,2,"[512, 256]",0.001,0.3,32,100,Adam,84.08,83.88,83.87
Exp-41,2,"[512, 256]",0.001,0.3,32,200,Adam,84.65,84.88,84.45
Exp-42,2,"[512, 256]",0.001,0.3,32,300,Adam,83.68,83.61,83.62
Exp-43,2,"[512, 256]",0.001,0.5,16,100,Adam,80.95,80.50,80.77
